first_name,last_name,title,address_1,address_2,address_3,postcode,phone_work,phone_mobile,fax,company,department,datamine_bdm,retail_watch_flag
Quinlan,Peterson,Mr,215 Iaculis Av.,Rye,Georgia,F1L 1H5,73 978 5431-5497,26 750 6303-5197,23 849 6883-6389,Google,Advertising,Giselle,0
Demetrius,Fulton,Dr,2678 Pellentesque St.,Bloomington,New York,C8F 8U4,55 850 7514-3585,81 258 3213-9440,36 801 4590-6757,Adobe,Tech Support,Burton,0
Ryan,Stokes,Dr,447-7124 Aliquam Rd.,Beaumont,California,C8K 1L2,93 872 5080-2941,89 904 3413-5835,77 610 6583-7336,Macromedia,Quality Assurance,Kalia,1
Ryan,Bryant,Mr,P.O. Box 127 5901 Metus. Av.,Taunton,Massachusetts,G2Z 5K5,54 996 4036-5833,93 861 1679-0573,77 813 4523-1645,Sibelius,Finances,Amy,1
Abdul,Mccray,,407-8558 Vestibulum Avenue,Moreno Valley,Kansas,Z9F 7J2,75 168 2975-4744,47 536 8654-9539,45 678 4380-1098,Finale,Asset Management,Evan,0
Theodore,Cobb,Mr,P.O. Box 803 6346 Mauris Av.,Newburgh,Arkansas,A2M 9T4,87 945 2373-3062,23 501 7883-8929,26 891 7601-2259,Apple Systems,Accounting,Keane,0
Calvin,Lambert,,P.O. Box 775 4188 Etiam Av.,Oneonta,Wyoming,B7T 9H7,89 445 2979-5297,85 733 8074-0951,72 199 8933-4521,Cakewalk,Sales and Marketing,Dane,0
Hamilton,Holcomb,Mr,1975 Vestibulum Street,Eugene,Illinois,M5V 2G9,41 880 7285-1974,41 460 6529-8053,53 573 8816-9897,Microsoft,Finances,Vance,1
Nasim,Peck,,691-7571 Molestie Road,Galveston,Montana,Z8K 3P4,98 919 7197-8855,68 403 8701-2202,14 668 6577-5494,Macromedia,Research and Development,Alec,0
Carson,Knight,Dr,884-7967 Mollis St.,City of Industry,West Virginia,U7L 8A1,33 222 2778-0802,34 226 6047-0148,99 790 9221-5493,Microsoft,Public Relations,Unity,1
Ethan,Flowers,Mr,110-4631 Donec Rd.,Santa Barbara,Pennsylvania,O9J 4C5,11 642 7750-1585,80 825 3200-0076,91 106 2226-5030,Borland,Advertising,Keiko,0
Rajah,Miller,Mr,660-1769 Primis St.,Chattanooga,Iowa,H4J 3B3,96 464 2542-9937,64 186 4485-7570,91 404 3689-1045,Adobe,Human Resources,Victoria,1
Fritz,Knight,Dr,P.O. Box 279 6225 Libero Rd.,Gardner,District of Columbia,P9F 8C2,11 453 1416-3017,60 565 6829-9595,51 463 4879-1842,Lavasoft,Research and Development,Daryl,1
Blaze,Kirby,,731-6607 Sem. Avenue,Milford,Georgia,N6W 8S4,73 206 2770-4085,50 439 9064-2677,26 680 4214-8326,Microsoft,Research and Development,Myles,1
Cody,Gentry,Dr,1750 Eget Ave,Austin,Montana,Z2H 9Z8,65 597 1329-8257,59 239 8209-8727,95 793 4583-2964,Cakewalk,Quality Assurance,Quintessa,0
Lars,Eaton,Mr,409-1078 Nunc Ave,St. George,Wisconsin,X8M 6X0,20 240 6069-0436,65 772 2039-0719,66 647 7581-5412,Macromedia,Customer Relations,Alec,1
Kadeem,Diaz,,Ap #212-2315 Et Av.,Chicago,Colorado,D9O 2V4,22 171 3064-4699,90 778 3804-9931,99 473 6043-2738,Altavista,Public Relations,Carson,0
Timon,Benton,,Ap #182-4843 Vel Street,Albany,Iowa,K6C 5S6,77 226 1454-9648,76 539 1440-7981,69 626 4086-6901,Borland,Legal Department,Gretchen,1
Cadman,Lynn,Mr,746 Neque St.,Lewiston,Illinois,R6V 2W6,53 174 7794-5083,23 537 5280-5991,58 334 7755-1221,Altavista,Advertising,George,0
Griffin,Hull,Mr,973-5706 Ullamcorper. Rd.,Bell Gardens,North Carolina,O8M 9K6,64 749 2111-2446,95 951 3573-1067,91 738 3858-7699,Cakewalk,Customer Service,Orlando,0
Anthony,Morgan,Mr,P.O. Box 401 2696 Magna. Road,Vineland,Florida,O1O 1X6,46 137 2678-8418,12 216 3491-6221,37 324 6840-6673,Microsoft,Payroll,Sonya,1
Roth,Compton,Mr,7986 Eu Av.,Rock Island,Kentucky,E2Z 2D8,53 948 4096-0047,96 826 7044-4185,38 746 2766-5975,Yahoo,Payroll,Yeo,0
Byron,Kirby,Dr,632-7937 Amet St.,New Rochelle,Kentucky,E9D 4V4,20 676 4408-9020,52 962 3208-5257,26 291 3970-6157,Lycos,Customer Relations,Nolan,1
Harlan,Hicks,Dr,492-2420 Praesent Av.,Spartanburg,Kentucky,M7F 2S3,68 228 1196-0634,10 328 7605-0015,73 736 3275-1860,Lycos,Research and Development,Byron,0
Jerry,Cummings,Mr,829-4796 Arcu. Ave,Rome,Virginia,S8R 5N5,89 797 6272-1976,26 803 2989-8985,75 120 9278-9417,Sibelius,Legal Department,Madeline,1
Carl,Hall,Mr,867-9322 Lobortis Ave,College Station,Pennsylvania,O8B 2G8,43 257 5746-8019,44 442 8319-0616,52 870 2117-8643,Lavasoft,Research and Development,Callum,1
Jakeem,Hyde,Dr,P.O. Box 650 2769 Ultrices Road,Portsmouth,Utah,L6R 2N2,49 150 9839-8463,95 279 2328-2507,37 870 3617-7160,Adobe,Research and Development,Kimberley,0
Benedict,Moody,,726-3415 Sit St.,Fargo,Wisconsin,P1J 5F4,25 356 1241-7928,64 484 7480-4430,57 671 7242-9543,Chami,Public Relations,Nayda,0
Nehru,Ayers,Dr,2430 Parturient Avenue,Frankfort,Florida,G2Y 3V1,75 998 4381-1185,88 572 4547-7499,59 330 1990-7346,Yahoo,Customer Relations,Vielka,0
Dominic,Mcbride,Dr,P.O. Box 932 3347 Ac St.,Rancho Santa Margarita,Hawaii,B8T 6E5,20 303 2859-7400,17 937 1207-5965,73 389 4924-3338,Google,Public Relations,Sade,0
Jason,Nieves,Dr,Ap #378-1368 Duis St.,Santa Clara,Alaska,A9T 6W2,74 100 7756-9394,16 196 8375-3743,72 964 6145-1236,Adobe,Advertising,David,0
Hu,Torres,,Ap #940-3714 Id Avenue,Monongahela,West Virginia,G4O 9A3,94 484 9358-3708,71 750 4539-4827,27 621 5643-0365,Chami,Media Relations,Shay,1
Mannix,Howard,,Ap #912-8968 Eu Rd.,Fairfield,Nevada,T2E 4X2,88 299 1575-5642,15 989 6789-3211,53 635 4173-1899,Borland,Finances,Nomlanga,1
Barclay,Morton,,824-3555 Amet Avenue,Winnemucca,Iowa,P9M 3N8,14 548 7237-3054,76 196 4793-0766,70 919 1644-5179,Adobe,Research and Development,Kasimir,1
Elijah,Higgins,,1720 Elit Av.,Victoria,New Mexico,P3J 9U7,89 980 2712-0775,11 155 8578-1547,88 765 5543-5607,Lycos,Payroll,Garrett,0
Chaim,Bruce,,P.O. Box 375 8104 Bibendum St.,Sierra Madre,Mississippi,E3X 1Y7,64 596 7645-8799,83 353 4812-3364,66 553 2080-7671,Yahoo,Quality Assurance,Keefe,1
Isaiah,Patton,Mr,Ap #525-4538 Bibendum Avenue,Klamath Falls,South Dakota,Z4F 5X4,59 296 4644-3908,78 938 5829-6666,18 293 6955-6820,Adobe,Public Relations,Justin,0
Nash,Mayo,,3652 Phasellus Av.,Branson,Kansas,H3M 2W4,89 432 4112-4576,33 169 9430-8721,17 391 2954-1952,Adobe,Media Relations,Demetrius,0
Kato,Lowery,Dr,P.O. Box 590 7162 Sem Rd.,San Rafael,Iowa,O4D 6P0,88 720 5819-8434,98 933 1908-2937,34 495 2724-8720,Macromedia,Human Resources,Zephr,1
Zeph,Arnold,,8668 Convallis Rd.,Hermosa Beach,Maryland,C4S 7G8,69 300 6927-0978,97 512 9903-3794,16 234 7277-2365,Adobe,Payroll,Ian,1
Lucian,Weber,,9202 Auctor Road,West Haven,Alaska,B1N 5X0,81 786 6277-5710,40 675 1740-7978,12 393 2190-7535,Lavasoft,Customer Service,Holmes,0
Keefe,West,Mr,P.O. Box 965 6996 Torquent St.,Rochester,Massachusetts,P3X 5W2,34 729 6565-7093,97 728 9257-6302,79 751 9992-9675,Cakewalk,Accounting,Taylor,0
Hasad,Jarvis,Dr,6472 Et Rd.,High Point,Michigan,B5M 4D2,80 615 6705-2744,28 819 4957-4084,53 875 6717-2753,Finale,Sales and Marketing,Gareth,1
Zeus,Murray,,P.O. Box 967 4039 Congue Av.,Fairbanks,Kentucky,S9Y 5A0,76 570 5317-8478,19 788 8721-1088,98 308 9637-7818,Chami,Human Resources,Raphael,0
Callum,Moody,Mr,3567 Cras St.,Joplin,Montana,W6T 4U1,78 491 7948-3555,72 581 6850-3152,73 654 3382-4619,Finale,Finances,Clarke,0
Jacob,Case,Dr,P.O. Box 755 8740 Amet Rd.,Norwalk,North Dakota,K3C 5K9,72 166 6731-0515,77 623 7013-6510,82 621 3429-0864,Lycos,Human Resources,Miranda,1
Connor,Brennan,,707-7783 Pede. Av.,Fernley,New Jersey,N5W 2M9,83 314 8795-3625,78 586 9442-0516,19 759 6827-2042,Lycos,Asset Management,Armando,0
Damian,Gardner,Mr,963-6946 Luctus Avenue,Gardena,Mississippi,M1E 6M3,39 478 5767-5717,12 831 3285-7972,18 852 2468-3150,Lycos,Payroll,Malachi,0
Tate,Moore,Mr,2353 Nulla St.,Evanston,New Mexico,P8A 2C3,45 659 5838-8649,50 954 9471-0196,99 802 2697-5459,Lycos,Tech Support,Gretchen,1
Basil,Evans,,9372 Elementum Ave,Mechanicville,Hawaii,K7W 8V0,16 222 3701-0548,67 816 6151-3197,88 568 6309-5366,Apple Systems,Customer Service,Evan,0
Simon,Vasquez,Dr,P.O. Box 864 3410 A Rd.,Lawton,South Carolina,W5P 3M7,42 717 5444-6765,72 179 2626-4812,47 594 9210-9743,Sibelius,Customer Service,Kimberly,1
Thomas,Wall,Mr,9319 Eget Av.,Simi Valley,Nebraska,N7Z 2J0,12 657 1606-8427,41 842 6114-7722,52 583 5190-8968,Sibelius,Public Relations,Emma,1
Thaddeus,Cherry,Mr,Ap #291-1192 Donec St.,Rancho Santa Margarita,Kentucky,Q7M 7U7,93 377 1928-1540,77 429 1408-7324,17 184 1278-9871,Chami,Legal Department,Harriet,0
Victor,Mccall,Dr,Ap #742-9176 Eu St.,Bridgeport,Kentucky,J6X 2V4,41 763 4078-2112,70 190 7798-0744,43 618 9356-6963,Chami,Payroll,Dexter,0
